IND,id,Parent,Xno,Plant_grain_yield_Salina_mean,Main_Panicle_WT_Combined_Mean,Main_Panicle_WT_Salina_mean,Main_Panicle_WT_Athens_Mean,Main_Head_Seed_Yield_COM_MEAN,Main_Head_Seed_Yield_Salina_MEAN,Main_Head_Seed_Yield_Athens_MEAN,1000_Seed_WT_lsmean_Combined,1000_Seed_WT_Salina_lsmean,1000_Seed_WT_Athens_Slsmean
H4.435,123,H4,435,49.64181818,37.77272727,32.08333333,44.6,11.09046818,17.61454545,4.566390909,13.530805,12.877057,14.1872
H4.437,124,H4,437,59.699,35.26315789,36,34,14.34741364,19.746,9.848591667,17.660226,16.161679,19.39993
H4.438,125,H4,438,73.783,37.52173913,43.33333333,31.18181818,17.47044762,25.923,9.786309091,17.88002,18.136991,17.44314
H4.441,126,H4,441,73.915,66,63.8,69.66666667,25.48024545,35.68866667,13.23014,NA,NA,NA
H4.442,127,H4,442,49.12727273,31.40909091,36.41666667,25.4,13.23385,20.45909091,6.008609091,14.832504,13.959873,15.58056
H4.443,128,H4,443,41.335,52.09090909,66,35.4,10.25915,13.28,7.2383,NA,NA,NA
H4.451,129,H4,451,94.99916667,38.58333333,50.16666667,27,18.58201667,28.2575,8.906533333,15.769188,15.949054,15.58932
H4.452,130,H4,452,77.76916667,34.125,39.25,29,16.8046125,21.8975,11.711725,15.700336,16.00934,15.39133
H4.455,131,H4,455,85.89545455,39.47826087,56.58333333,20.81818182,19.43456522,31.94072727,7.970583333,16.787874,17.652264,15.88898
H4.458,132,H4,458,70.625,27.66666667,35,19.6,14.9524913,20.31545455,10.03644167,15.947587,17.115723,14.77945
H4.459,133,H4,459,51.52727273,28.82608696,32.58333333,24.72727273,11.87857273,15.61909091,8.138054545,11.656706,11.755566,11.5586
H4.460,134,H4,460,62.42181818,33.27272727,42.33333333,22.4,18.80521739,25.39454545,12.765,16.198656,16.112807,16.42622
H4.461,135,H4,461,147.785,41.33333333,76,13.6,21.69321,41.9195,8.209016667,NA,NA,NA
H4.464,136,H4,464,67.76,25.72727273,28.83333333,22,12.12936818,14.12181818,10.13691818,13.13034,12.72364,13.53628
H4.465,137,H4,465,102.817,33.7826087,40.41666667,26.54545455,15.19558636,27.4682,4.968408333,16.183891,19.027865,13.31441
H4.466,138,H4,466,73.09555556,33.27272727,34.25,32.1,13.64254762,22.84333333,6.741958333,15.859512,17.614968,14.03288
H4.468,139,H4,468,82.602,29.95,36,23.9,14.03129,20.606,7.45658,15.083026,16.94679,13.221
H4.501,140,H4,501,85.36583333,29.17391304,31.41666667,26.72727273,14.00610417,18.36166667,9.650541667,16.091961,17.099115,15.08481
H4.504,141,H4,504,156.8925,46.71428571,48.66666667,35,20.48167143,34.077,2.354566667,NA,NA,NA
